category,count,year_month
cs-CV,500,2022-09
cs-CY,27,2022-09
cs-HC,84,2022-09
cs-IR,41,2022-09
cs-LG,310,2022-09
cs-RO,250,2022-09
cs-SE,94,2022-09
cs-AI,55,2022-10
cs-CL,500,2022-10
cs-CR,105,2022-10
cs-CV,500,2022-10
cs-CY,30,2022-10
cs-HC,69,2022-10
cs-IR,47,2022-10
cs-LG,432,2022-10
cs-RO,198,2022-10
cs-SE,51,2022-10
cs-AI,67,2022-11
cs-CL,328,2022-11
cs-CR,96,2022-11
cs-CV,500,2022-11
cs-CY,32,2022-11
cs-HC,57,2022-11
cs-IR,43,2022-11
cs-LG,307,2022-11
cs-RO,156,2022-11
cs-SE,58,2022-11
cs-AI,71,2022-12
cs-CL,353,2022-12
cs-CR,111,2022-12
cs-CV,500,2022-12
cs-CY,53,2022-12
cs-HC,50,2022-12
cs-IR,25,2022-12
cs-LG,259,2022-12
cs-RO,129,2022-12
cs-SE,73,2022-12
cs-AI,68,2023-01
cs-CL,164,2023-01
cs-CR,81,2023-01
cs-CV,454,2023-01
cs-CY,39,2023-01
cs-HC,66,2023-01
cs-IR,39,2023-01
cs-LG,280,2023-01
cs-RO,112,2023-01
cs-SE,83,2023-01
cs-AI,108,2023-02
cs-CL,234,2023-02
cs-CR,93,2023-02
cs-CV,500,2023-02
cs-CY,29,2023-02
cs-HC,100,2023-02
cs-IR,52,2023-02
cs-LG,440,2023-02
cs-RO,178,2023-02
cs-SE,88,2023-02
cs-AI,72,2023-03
cs-CL,233,2023-03
cs-CR,93,2023-03
cs-CV,500,2023-03
cs-CY,52,2023-03
cs-HC,98,2023-03
cs-IR,47,2023-03
cs-LG,285,2023-03
cs-RO,309,2023-03
cs-SE,106,2023-03
cs-AI,94,2023-04
cs-CL,252,2023-04
cs-CR,109,2023-04
cs-CV,500,2023-04
cs-CY,42,2023-04
cs-HC,98,2023-04
cs-IR,88,2023-04
cs-LG,228,2023-04
cs-RO,198,2023-04
cs-SE,101,2023-04
cs-AI,85,2023-05
cs-CL,500,2023-05
cs-CR,122,2023-05
cs-CV,500,2023-05
cs-CY,61,2023-05
cs-HC,72,2023-05
cs-IR,84,2023-05
cs-LG,394,2023-05
cs-RO,203,2023-05
cs-SE,130,2023-05
cs-AI,118,2023-06
cs-CL,405,2023-06
cs-CR,139,2023-06
cs-CV,500,2023-06
cs-CY,50,2023-06
cs-HC,82,2023-06
cs-IR,62,2023-06
cs-LG,402,2023-06
cs-RO,204,2023-06
cs-SE,95,2023-06
cs-AI,105,2023-07
cs-CL,278,2023-07
cs-CR,122,2023-07
cs-CV,500,2023-07
cs-CY,37,2023-07
cs-HC,78,2023-07
cs-IR,52,2023-07
cs-LG,248,2023-07
cs-RO,198,2023-07
cs-SE,120,2023-07
cs-AI,128,2023-08
cs-CL,260,2023-08
cs-CR,137,2023-08
cs-CV,500,2023-08
cs-CY,61,2023-08
cs-HC,148,2023-08
cs-IR,73,2023-08
cs-LG,248,2023-08
cs-RO,183,2023-08
cs-SE,158,2023-08
cs-AI,92,2023-09
cs-CL,337,2023-09
cs-CR,152,2023-09
cs-CV,500,2023-09
cs-CY,48,2023-09
cs-HC,117,2023-09
cs-IR,52,2023-09
cs-LG,315,2023-09
cs-RO,368,2023-09
cs-SE,121,2023-09
cs-AI,161,2023-10
cs-CL,500,2023-10
cs-CR,117,2023-10
cs-CV,500,2023-10
cs-CY,58,2023-10
cs-HC,112,2023-10
cs-IR,70,2023-10
cs-LG,500,2023-10
cs-RO,293,2023-10
cs-SE,106,2023-10
cs-AI,124,2023-11
cs-CL,500,2023-11
cs-CR,137,2023-11
cs-CV,500,2023-11
cs-CY,55,2023-11
cs-HC,94,2023-11
cs-IR,71,2023-11
cs-LG,285,2023-11
cs-RO,207,2023-11
cs-SE,102,2023-11
cs-AI,154,2023-12
cs-CL,288,2023-12
cs-CR,147,2023-12
cs-CV,500,2023-12
cs-CY,58,2023-12
cs-HC,97,2023-12
cs-IR,53,2023-12
cs-LG,289,2023-12
cs-RO,195,2023-12
cs-SE,98,2023-12
cs-AI,87,2024-01
cs-CL,373,2024-01
cs-CR,101,2024-01
cs-CV,500,2024-01
cs-CY,56,2024-01
cs-HC,125,2024-01
cs-IR,88,2024-01
cs-LG,245,2024-01
cs-RO,168,2024-01
cs-SE,137,2024-01
cs-AI,132,2024-02
cs-CL,500,2024-02
cs-CR,123,2024-02
cs-CV,500,2024-02
cs-CY,59,2024-02
cs-HC,124,2024-02
cs-IR,70,2024-02
cs-LG,486,2024-02
cs-RO,233,2024-02
cs-SE,150,2024-02
cs-AI,189,2024-03
cs-CL,500,2024-03
cs-CR,158,2024-03
cs-CV,500,2024-03
cs-CY,79,2024-03
cs-HC,171,2024-03
cs-IR,92,2024-03
cs-LG,303,2024-03
cs-RO,414,2024-03
cs-SE,113,2024-03
cs-AI,119,2024-04
cs-CL,500,2024-04
cs-CR,146,2024-04
cs-CV,500,2024-04
cs-CY,67,2024-04
cs-HC,207,2024-04
cs-IR,70,2024-04
cs-LG,270,2024-04
cs-RO,289,2024-04
cs-SE,146,2024-04
cs-AI,165,2024-05
cs-CL,455,2024-05
cs-CR,192,2024-05
cs-CV,500,2024-05
cs-CY,59,2024-05
cs-HC,148,2024-05
cs-IR,87,2024-05
cs-LG,500,2024-05
cs-RO,278,2024-05
cs-SE,138,2024-05
cs-AI,151,2024-06
cs-CL,500,2024-06
cs-CR,149,2024-06
cs-CV,500,2024-06
cs-CY,57,2024-06
cs-HC,114,2024-06
cs-IR,83,2024-06
cs-LG,500,2024-06
cs-RO,245,2024-06
cs-SE,136,2024-06
cs-AI,199,2024-07
cs-CL,497,2024-07
cs-CR,156,2024-07
cs-CV,500,2024-07
cs-CY,77,2024-07
cs-HC,152,2024-07
cs-IR,63,2024-07
cs-LG,380,2024-07
cs-RO,287,2024-07
cs-SE,139,2024-07
cs-AI,183,2024-08
cs-CL,394,2024-08
cs-CR,149,2024-08
cs-CV,500,2024-08
cs-CY,64,2024-08
cs-HC,182,2024-08
cs-IR,83,2024-08
cs-LG,348,2024-08
cs-RO,218,2024-08
cs-SE,159,2024-08
cs-AI,177,2024-09
cs-CL,414,2024-09
cs-CR,162,2024-09
cs-CV,500,2024-09
cs-CY,69,2024-09
cs-HC,212,2024-09
cs-IR,81,2024-09
cs-LG,325,2024-09
cs-RO,500,2024-09
cs-SE,115,2024-09
cs-AI,242,2024-10
cs-CL,500,2024-10
cs-CR,151,2024-10
cs-CV,500,2024-10
cs-CY,87,2024-10
cs-HC,160,2024-10
cs-IR,77,2024-10
cs-LG,500,2024-10
cs-RO,393,2024-10
cs-SE,115,2024-10
cs-AI,137,2024-11
cs-CL,363,2024-11
cs-CR,122,2024-11
cs-CV,500,2024-11
cs-CY,60,2024-11
cs-HC,204,2024-11
cs-IR,71,2024-11
cs-LG,413,2024-11
cs-RO,303,2024-11
cs-SE,115,2024-11
cs-AI,248,2024-12
cs-CL,500,2024-12
cs-CR,143,2024-12
cs-CV,500,2024-12
cs-CY,78,2024-12
cs-HC,112,2024-12
cs-IR,79,2024-12
cs-LG,423,2024-12
cs-RO,206,2024-12
cs-SE,112,2024-12
cs-AI,133,2025-01
cs-CL,363,2025-01
cs-CR,158,2025-01
cs-CV,500,2025-01
cs-CY,72,2025-01
cs-HC,158,2025-01
cs-IR,74,2025-01
cs-LG,500,2025-01
cs-RO,148,2025-01
cs-SE,162,2025-01
cs-AI,191,2025-02
cs-CL,500,2025-02
cs-CR,167,2025-02
cs-CV,500,2025-02
cs-CY,85,2025-02
cs-HC,230,2025-02
cs-IR,99,2025-02
cs-LG,500,2025-02
cs-RO,234,2025-02
cs-SE,154,2025-02
cs-AI,203,2025-03
cs-CL,500,2025-03
cs-CR,150,2025-03
cs-CV,500,2025-03
cs-CY,56,2025-03
cs-HC,238,2025-03
cs-IR,71,2025-03
cs-LG,500,2025-03
cs-RO,361,2025-03
cs-SE,188,2025-03
cs-AI,195,2025-04
cs-CL,500,2025-04
cs-CR,201,2025-04
cs-CV,500,2025-04
cs-CY,61,2025-04
cs-HC,201,2025-04
cs-IR,119,2025-04
cs-LG,471,2025-04
cs-RO,287,2025-04
cs-SE,210,2025-04
cs-AI,437,2025-05
cs-CL,500,2025-05
cs-CR,241,2025-05
cs-CV,500,2025-05
cs-CY,87,2025-05
cs-HC,174,2025-05
cs-IR,115,2025-05
cs-LG,500,2025-05
cs-RO,352,2025-05
cs-SE,149,2025-05
cs-AI,331,2025-06
cs-CL,500,2025-06
cs-CR,215,2025-06
cs-CV,500,2025-06
cs-CY,61,2025-06
